PassengerId,Survived,Age,SibSp,Parch,Fare,Embarked,male,C,Q,S,pclass_1,pclass_2,pclass_3
1,0.0,22.0,1,0,7.25,S,1.0,0,0,1.0,0,0,1.0
892,,34.5,0,0,7.8292,Q,1.0,0,0,1.0,0,0,1.0
2,1.0,38.0,1,0,71.2833,C,0,1.0,0,0,1.0,0,0
893,,47.0,1,0,7.0,S,0,1.0,0,0,1.0,0,0
3,1.0,26.0,0,0,7.925,S,0,0,0,1.0,0,0,1.0
894,,62.0,0,0,9.6875,Q,0,0,0,1.0,0,0,1.0
4,1.0,35.0,1,0,53.1,S,0,0,0,1.0,1.0,0,0
895,,27.0,0,0,8.6625,S,0,0,0,1.0,1.0,0,0
5,0.0,35.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
896,,22.0,1,1,12.2875,S,1.0,0,0,1.0,0,0,1.0
6,0.0,29.7,0,0,8.4583,Q,1.0,0,1.0,0,0,0,1.0
897,,14.0,0,0,9.225,S,1.0,0,1.0,0,0,0,1.0
7,0.0,54.0,0,0,51.8625,S,1.0,0,0,1.0,1.0,0,0
898,,30.0,0,0,7.6292,Q,1.0,0,0,1.0,1.0,0,0
8,0.0,2.0,3,1,21.075,S,1.0,0,0,1.0,0,0,1.0
899,,26.0,1,1,29.0,S,1.0,0,0,1.0,0,0,1.0
9,1.0,27.0,0,2,11.1333,S,0,0,0,1.0,0,0,1.0
900,,18.0,0,0,7.2292,C,0,0,0,1.0,0,0,1.0
10,1.0,14.0,1,0,30.0708,C,0,1.0,0,0,0,1.0,0
901,,21.0,2,0,24.15,S,0,1.0,0,0,0,1.0,0
11,1.0,4.0,1,1,16.7,S,0,0,0,1.0,0,0,1.0
902,,30.3,0,0,7.8958,S,0,0,0,1.0,0,0,1.0
12,1.0,58.0,0,0,26.55,S,0,0,0,1.0,1.0,0,0
903,,46.0,0,0,26.0,S,0,0,0,1.0,1.0,0,0
13,0.0,20.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
904,,23.0,1,0,82.2667,S,1.0,0,0,1.0,0,0,1.0
14,0.0,39.0,1,5,31.275,S,1.0,0,0,1.0,0,0,1.0
905,,63.0,1,0,26.0,S,1.0,0,0,1.0,0,0,1.0
15,0.0,14.0,0,0,7.8542,S,0,0,0,1.0,0,0,1.0
906,,47.0,1,0,61.175,S,0,0,0,1.0,0,0,1.0
16,1.0,55.0,0,0,16.0,S,0,0,0,1.0,0,1.0,0
907,,24.0,1,0,27.7208,C,0,0,0,1.0,0,1.0,0
17,0.0,2.0,4,1,29.125,Q,1.0,0,1.0,0,0,0,1.0
908,,35.0,0,0,12.35,Q,1.0,0,1.0,0,0,0,1.0
18,1.0,29.7,0,0,13.0,S,1.0,0,0,1.0,0,1.0,0
909,,21.0,0,0,7.225,C,1.0,0,0,1.0,0,1.0,0
19,0.0,31.0,1,0,18.0,S,0,0,0,1.0,0,0,1.0
910,,27.0,1,0,7.925,S,0,0,0,1.0,0,0,1.0
20,1.0,29.7,0,0,7.225,C,0,1.0,0,0,0,0,1.0
911,,45.0,0,0,7.225,C,0,1.0,0,0,0,0,1.0
21,0.0,35.0,0,0,26.0,S,1.0,0,0,1.0,0,1.0,0
912,,55.0,1,0,59.4,C,1.0,0,0,1.0,0,1.0,0
22,1.0,34.0,0,0,13.0,S,1.0,0,0,1.0,0,1.0,0
913,,9.0,0,1,3.1708,S,1.0,0,0,1.0,0,1.0,0
23,1.0,15.0,0,0,8.0292,Q,0,0,1.0,0,0,0,1.0
914,,30.3,0,0,31.6833,S,0,0,1.0,0,0,0,1.0
24,1.0,28.0,0,0,35.5,S,1.0,0,0,1.0,1.0,0,0
915,,21.0,0,1,61.3792,C,1.0,0,0,1.0,1.0,0,0
25,0.0,8.0,3,1,21.075,S,0,0,0,1.0,0,0,1.0
916,,48.0,1,3,262.375,C,0,0,0,1.0,0,0,1.0
26,1.0,38.0,1,5,31.3875,S,0,0,0,1.0,0,0,1.0
917,,50.0,1,0,14.5,S,0,0,0,1.0,0,0,1.0
27,0.0,29.7,0,0,7.225,C,1.0,1.0,0,0,0,0,1.0
918,,22.0,0,1,61.9792,C,1.0,1.0,0,0,0,0,1.0
28,0.0,19.0,3,2,263.0,S,1.0,0,0,1.0,1.0,0,0
919,,22.5,0,0,7.225,C,1.0,0,0,1.0,1.0,0,0
29,1.0,29.7,0,0,7.8792,Q,0,0,1.0,0,0,0,1.0
920,,41.0,0,0,30.5,S,0,0,1.0,0,0,0,1.0
30,0.0,29.7,0,0,7.8958,S,1.0,0,0,1.0,0,0,1.0
921,,30.3,2,0,21.6792,C,1.0,0,0,1.0,0,0,1.0
31,0.0,40.0,0,0,27.7208,C,1.0,1.0,0,0,1.0,0,0
922,,50.0,1,0,26.0,S,1.0,1.0,0,0,1.0,0,0
32,1.0,29.7,1,0,146.5208,C,0,1.0,0,0,1.0,0,0
923,,24.0,2,0,31.5,S,0,1.0,0,0,1.0,0,0
33,1.0,29.7,0,0,7.75,Q,0,0,1.0,0,0,0,1.0
924,,33.0,1,2,20.575,S,0,0,1.0,0,0,0,1.0
34,0.0,66.0,0,0,10.5,S,1.0,0,0,1.0,0,1.0,0
925,,30.3,1,2,23.45,S,1.0,0,0,1.0,0,1.0,0
35,0.0,28.0,1,0,82.1708,C,1.0,1.0,0,0,1.0,0,0
926,,30.0,1,0,57.75,C,1.0,1.0,0,0,1.0,0,0
36,0.0,42.0,1,0,52.0,S,1.0,0,0,1.0,1.0,0,0
927,,18.5,0,0,7.2292,C,1.0,0,0,1.0,1.0,0,0
37,1.0,29.7,0,0,7.2292,C,1.0,1.0,0,0,0,0,1.0
928,,30.3,0,0,8.05,S,1.0,1.0,0,0,0,0,1.0
38,0.0,21.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
929,,21.0,0,0,8.6625,S,1.0,0,0,1.0,0,0,1.0
39,0.0,18.0,2,0,18.0,S,0,0,0,1.0,0,0,1.0
930,,25.0,0,0,9.5,S,0,0,0,1.0,0,0,1.0
40,1.0,14.0,1,0,11.2417,C,0,1.0,0,0,0,0,1.0
931,,30.3,0,0,56.4958,S,0,1.0,0,0,0,0,1.0
41,0.0,40.0,1,0,9.475,S,0,0,0,1.0,0,0,1.0
932,,39.0,0,1,13.4167,C,0,0,0,1.0,0,0,1.0
42,0.0,27.0,1,0,21.0,S,0,0,0,1.0,0,1.0,0
933,,30.3,0,0,26.55,S,0,0,0,1.0,0,1.0,0
43,0.0,29.7,0,0,7.8958,C,1.0,1.0,0,0,0,0,1.0
934,,41.0,0,0,7.85,S,1.0,1.0,0,0,0,0,1.0
44,1.0,3.0,1,2,41.5792,C,0,1.0,0,0,0,1.0,0
935,,30.0,0,0,13.0,S,0,1.0,0,0,0,1.0,0
45,1.0,19.0,0,0,7.8792,Q,0,0,1.0,0,0,0,1.0
936,,45.0,1,0,52.5542,S,0,0,1.0,0,0,0,1.0
46,0.0,29.7,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
937,,25.0,0,0,7.925,S,1.0,0,0,1.0,0,0,1.0
47,0.0,29.7,1,0,15.5,Q,1.0,0,1.0,0,0,0,1.0
938,,45.0,0,0,29.7,C,1.0,0,1.0,0,0,0,1.0
48,1.0,29.7,0,0,7.75,Q,0,0,1.0,0,0,0,1.0
939,,30.3,0,0,7.75,Q,0,0,1.0,0,0,0,1.0
49,0.0,29.7,2,0,21.6792,C,1.0,1.0,0,0,0,0,1.0
940,,60.0,0,0,76.2917,C,1.0,1.0,0,0,0,0,1.0
50,0.0,18.0,1,0,17.8,S,0,0,0,1.0,0,0,1.0
941,,36.0,0,2,15.9,S,0,0,0,1.0,0,0,1.0
51,0.0,7.0,4,1,39.6875,S,1.0,0,0,1.0,0,0,1.0
942,,24.0,1,0,60.0,S,1.0,0,0,1.0,0,0,1.0
52,0.0,21.0,0,0,7.8,S,1.0,0,0,1.0,0,0,1.0
943,,27.0,0,0,15.0333,C,1.0,0,0,1.0,0,0,1.0
53,1.0,49.0,1,0,76.7292,C,0,1.0,0,0,1.0,0,0
944,,20.0,2,1,23.0,S,0,1.0,0,0,1.0,0,0
54,1.0,29.0,1,0,26.0,S,0,0,0,1.0,0,1.0,0
945,,28.0,3,2,263.0,S,0,0,0,1.0,0,1.0,0
55,0.0,65.0,0,1,61.9792,C,1.0,1.0,0,0,1.0,0,0
946,,30.3,0,0,15.5792,C,1.0,1.0,0,0,1.0,0,0
56,1.0,29.7,0,0,35.5,S,1.0,0,0,1.0,1.0,0,0
947,,10.0,4,1,29.125,Q,1.0,0,0,1.0,1.0,0,0
57,1.0,21.0,0,0,10.5,S,0,0,0,1.0,0,1.0,0
948,,35.0,0,0,7.8958,S,0,0,0,1.0,0,1.0,0
58,0.0,28.5,0,0,7.2292,C,1.0,1.0,0,0,0,0,1.0
949,,25.0,0,0,7.65,S,1.0,1.0,0,0,0,0,1.0
59,1.0,5.0,1,2,27.75,S,0,0,0,1.0,0,1.0,0
950,,30.3,1,0,16.1,S,0,0,0,1.0,0,1.0,0
60,0.0,11.0,5,2,46.9,S,1.0,0,0,1.0,0,0,1.0
951,,36.0,0,0,262.375,C,1.0,0,0,1.0,0,0,1.0
61,0.0,22.0,0,0,7.2292,C,1.0,1.0,0,0,0,0,1.0
952,,17.0,0,0,7.8958,S,1.0,1.0,0,0,0,0,1.0
62,1.0,38.0,0,0,80.0,S,0,0,0,1.0,1.0,0,0
953,,32.0,0,0,13.5,S,0,0,0,1.0,1.0,0,0
63,0.0,45.0,1,0,83.475,S,1.0,0,0,1.0,1.0,0,0
954,,18.0,0,0,7.75,S,1.0,0,0,1.0,1.0,0,0
64,0.0,4.0,3,2,27.9,S,1.0,0,0,1.0,0,0,1.0
955,,22.0,0,0,7.725,Q,1.0,0,0,1.0,0,0,1.0
65,0.0,29.7,0,0,27.7208,C,1.0,1.0,0,0,1.0,0,0
956,,13.0,2,2,262.375,C,1.0,1.0,0,0,1.0,0,0
66,1.0,29.7,1,1,15.2458,C,1.0,1.0,0,0,0,0,1.0
957,,30.3,0,0,21.0,S,1.0,1.0,0,0,0,0,1.0
67,1.0,29.0,0,0,10.5,S,0,0,0,1.0,0,1.0,0
958,,18.0,0,0,7.8792,Q,0,0,0,1.0,0,1.0,0
68,0.0,19.0,0,0,8.1583,S,1.0,0,0,1.0,0,0,1.0
959,,47.0,0,0,42.4,S,1.0,0,0,1.0,0,0,1.0
69,1.0,17.0,4,2,7.925,S,0,0,0,1.0,0,0,1.0
960,,31.0,0,0,28.5375,C,0,0,0,1.0,0,0,1.0
70,0.0,26.0,2,0,8.6625,S,1.0,0,0,1.0,0,0,1.0
961,,60.0,1,4,263.0,S,1.0,0,0,1.0,0,0,1.0
71,0.0,32.0,0,0,10.5,S,1.0,0,0,1.0,0,1.0,0
962,,24.0,0,0,7.75,Q,1.0,0,0,1.0,0,1.0,0
72,0.0,16.0,5,2,46.9,S,0,0,0,1.0,0,0,1.0
963,,21.0,0,0,7.8958,S,0,0,0,1.0,0,0,1.0
73,0.0,21.0,0,0,73.5,S,1.0,0,0,1.0,0,1.0,0
964,,29.0,0,0,7.925,S,1.0,0,0,1.0,0,1.0,0
74,0.0,26.0,1,0,14.4542,C,1.0,1.0,0,0,0,0,1.0
965,,28.5,0,0,27.7208,C,1.0,1.0,0,0,0,0,1.0
75,1.0,32.0,0,0,56.4958,S,1.0,0,0,1.0,0,0,1.0
966,,35.0,0,0,211.5,C,1.0,0,0,1.0,0,0,1.0
76,0.0,25.0,0,0,7.65,S,1.0,0,0,1.0,0,0,1.0
967,,32.5,0,0,211.5,C,1.0,0,0,1.0,0,0,1.0
77,0.0,29.7,0,0,7.8958,S,1.0,0,0,1.0,0,0,1.0
968,,30.3,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
78,0.0,29.7,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
969,,55.0,2,0,25.7,S,1.0,0,0,1.0,0,0,1.0
79,1.0,0.83,0,2,29.0,S,1.0,0,0,1.0,0,1.0,0
970,,30.0,0,0,13.0,S,1.0,0,0,1.0,0,1.0,0
80,1.0,30.0,0,0,12.475,S,0,0,0,1.0,0,0,1.0
971,,24.0,0,0,7.75,Q,0,0,0,1.0,0,0,1.0
81,0.0,22.0,0,0,9.0,S,1.0,0,0,1.0,0,0,1.0
972,,6.0,1,1,15.2458,C,1.0,0,0,1.0,0,0,1.0
82,1.0,29.0,0,0,9.5,S,1.0,0,0,1.0,0,0,1.0
973,,67.0,1,0,221.7792,S,1.0,0,0,1.0,0,0,1.0
83,1.0,29.7,0,0,7.7875,Q,0,0,1.0,0,0,0,1.0
974,,49.0,0,0,26.0,S,0,0,1.0,0,0,0,1.0
84,0.0,28.0,0,0,47.1,S,1.0,0,0,1.0,1.0,0,0
975,,30.3,0,0,7.8958,S,1.0,0,0,1.0,1.0,0,0
85,1.0,17.0,0,0,10.5,S,0,0,0,1.0,0,1.0,0
976,,30.3,0,0,10.7083,Q,0,0,0,1.0,0,1.0,0
86,1.0,33.0,3,0,15.85,S,0,0,0,1.0,0,0,1.0
977,,30.3,1,0,14.4542,C,0,0,0,1.0,0,0,1.0
87,0.0,16.0,1,3,34.375,S,1.0,0,0,1.0,0,0,1.0
978,,27.0,0,0,7.8792,Q,1.0,0,0,1.0,0,0,1.0
88,0.0,29.7,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
979,,18.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
89,1.0,23.0,3,2,263.0,S,0,0,0,1.0,1.0,0,0
980,,30.3,0,0,7.75,Q,0,0,0,1.0,1.0,0,0
90,0.0,24.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
981,,2.0,1,1,23.0,S,1.0,0,0,1.0,0,0,1.0
91,0.0,29.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
982,,22.0,1,0,13.9,S,1.0,0,0,1.0,0,0,1.0
92,0.0,20.0,0,0,7.8542,S,1.0,0,0,1.0,0,0,1.0
983,,30.3,0,0,7.775,S,1.0,0,0,1.0,0,0,1.0
93,0.0,46.0,1,0,61.175,S,1.0,0,0,1.0,1.0,0,0
984,,27.0,1,2,52.0,S,1.0,0,0,1.0,1.0,0,0
94,0.0,26.0,1,2,20.575,S,1.0,0,0,1.0,0,0,1.0
985,,30.3,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
95,0.0,59.0,0,0,7.25,S,1.0,0,0,1.0,0,0,1.0
986,,25.0,0,0,26.0,C,1.0,0,0,1.0,0,0,1.0
96,0.0,29.7,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
987,,25.0,0,0,7.7958,S,1.0,0,0,1.0,0,0,1.0
97,0.0,71.0,0,0,34.6542,C,1.0,1.0,0,0,1.0,0,0
988,,76.0,1,0,78.85,S,1.0,1.0,0,0,1.0,0,0
98,1.0,23.0,0,1,63.3583,C,1.0,1.0,0,0,1.0,0,0
989,,29.0,0,0,7.925,S,1.0,1.0,0,0,1.0,0,0
99,1.0,34.0,0,1,23.0,S,0,0,0,1.0,0,1.0,0
990,,20.0,0,0,7.8542,S,0,0,0,1.0,0,1.0,0
100,0.0,34.0,1,0,26.0,S,1.0,0,0,1.0,0,1.0,0
991,,33.0,0,0,8.05,S,1.0,0,0,1.0,0,1.0,0
101,0.0,28.0,0,0,7.8958,S,0,0,0,1.0,0,0,1.0
992,,43.0,1,0,55.4417,C,0,0,0,1.0,0,0,1.0
102,0.0,29.7,0,0,7.8958,S,1.0,0,0,1.0,0,0,1.0
993,,27.0,1,0,26.0,S,1.0,0,0,1.0,0,0,1.0
103,0.0,21.0,0,1,77.2875,S,1.0,0,0,1.0,1.0,0,0
994,,30.3,0,0,7.75,Q,1.0,0,0,1.0,1.0,0,0
104,0.0,33.0,0,0,8.6542,S,1.0,0,0,1.0,0,0,1.0
995,,26.0,0,0,7.775,S,1.0,0,0,1.0,0,0,1.0
105,0.0,37.0,2,0,7.925,S,1.0,0,0,1.0,0,0,1.0
996,,16.0,1,1,8.5167,C,1.0,0,0,1.0,0,0,1.0
106,0.0,28.0,0,0,7.8958,S,1.0,0,0,1.0,0,0,1.0
997,,28.0,0,0,22.525,S,1.0,0,0,1.0,0,0,1.0
107,1.0,21.0,0,0,7.65,S,0,0,0,1.0,0,0,1.0
998,,21.0,0,0,7.8208,Q,0,0,0,1.0,0,0,1.0
108,1.0,29.7,0,0,7.775,S,1.0,0,0,1.0,0,0,1.0
999,,30.3,0,0,7.75,Q,1.0,0,0,1.0,0,0,1.0
109,0.0,38.0,0,0,7.8958,S,1.0,0,0,1.0,0,0,1.0
1000,,30.3,0,0,8.7125,S,1.0,0,0,1.0,0,0,1.0
110,1.0,29.7,1,0,24.15,Q,0,0,1.0,0,0,0,1.0
1001,,18.5,0,0,13.0,S,0,0,1.0,0,0,0,1.0
111,0.0,47.0,0,0,52.0,S,1.0,0,0,1.0,1.0,0,0
1002,,41.0,0,0,15.0458,C,1.0,0,0,1.0,1.0,0,0
112,0.0,14.5,1,0,14.4542,C,0,1.0,0,0,0,0,1.0
1003,,30.3,0,0,7.7792,Q,0,1.0,0,0,0,0,1.0
113,0.0,22.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
1004,,36.0,0,0,31.6792,C,1.0,0,0,1.0,0,0,1.0
114,0.0,20.0,1,0,9.825,S,0,0,0,1.0,0,0,1.0
1005,,18.5,0,0,7.2833,Q,0,0,0,1.0,0,0,1.0
115,0.0,17.0,0,0,14.4583,C,0,1.0,0,0,0,0,1.0
1006,,63.0,1,0,221.7792,S,0,1.0,0,0,0,0,1.0
116,0.0,21.0,0,0,7.925,S,1.0,0,0,1.0,0,0,1.0
1007,,18.0,1,0,14.4542,C,1.0,0,0,1.0,0,0,1.0
117,0.0,70.5,0,0,7.75,Q,1.0,0,1.0,0,0,0,1.0
1008,,30.3,0,0,6.4375,C,1.0,0,1.0,0,0,0,1.0
118,0.0,29.0,1,0,21.0,S,1.0,0,0,1.0,0,1.0,0
1009,,1.0,1,1,16.7,S,1.0,0,0,1.0,0,1.0,0
119,0.0,24.0,0,1,247.5208,C,1.0,1.0,0,0,1.0,0,0
1010,,36.0,0,0,75.2417,C,1.0,1.0,0,0,1.0,0,0
120,0.0,2.0,4,2,31.275,S,0,0,0,1.0,0,0,1.0
1011,,29.0,1,0,26.0,S,0,0,0,1.0,0,0,1.0
121,0.0,21.0,2,0,73.5,S,1.0,0,0,1.0,0,1.0,0
1012,,12.0,0,0,15.75,S,1.0,0,0,1.0,0,1.0,0
122,0.0,29.7,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
1013,,30.3,1,0,7.75,Q,1.0,0,0,1.0,0,0,1.0
123,0.0,32.5,1,0,30.0708,C,1.0,1.0,0,0,0,1.0,0
1014,,35.0,1,0,57.75,C,1.0,1.0,0,0,0,1.0,0
124,1.0,32.5,0,0,13.0,S,0,0,0,1.0,0,1.0,0
1015,,28.0,0,0,7.25,S,0,0,0,1.0,0,1.0,0
125,0.0,54.0,0,1,77.2875,S,1.0,0,0,1.0,1.0,0,0
1016,,30.3,0,0,7.75,Q,1.0,0,0,1.0,1.0,0,0
126,1.0,12.0,1,0,11.2417,C,1.0,1.0,0,0,0,0,1.0
1017,,17.0,0,1,16.1,S,1.0,1.0,0,0,0,0,1.0
127,0.0,29.7,0,0,7.75,Q,1.0,0,1.0,0,0,0,1.0
1018,,22.0,0,0,7.7958,S,1.0,0,1.0,0,0,0,1.0
128,1.0,24.0,0,0,7.1417,S,1.0,0,0,1.0,0,0,1.0
1019,,30.3,2,0,23.25,Q,1.0,0,0,1.0,0,0,1.0
129,1.0,29.7,1,1,22.3583,C,0,1.0,0,0,0,0,1.0
1020,,42.0,0,0,13.0,S,0,1.0,0,0,0,0,1.0
130,0.0,45.0,0,0,6.975,S,1.0,0,0,1.0,0,0,1.0
1021,,24.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
131,0.0,33.0,0,0,7.8958,C,1.0,1.0,0,0,0,0,1.0
1022,,32.0,0,0,8.05,S,1.0,1.0,0,0,0,0,1.0
132,0.0,20.0,0,0,7.05,S,1.0,0,0,1.0,0,0,1.0
1023,,53.0,0,0,28.5,C,1.0,0,0,1.0,0,0,1.0
133,0.0,47.0,1,0,14.5,S,0,0,0,1.0,0,0,1.0
1024,,30.3,0,4,25.4667,S,0,0,0,1.0,0,0,1.0
134,1.0,29.0,1,0,26.0,S,0,0,0,1.0,0,1.0,0
1025,,30.3,1,0,6.4375,C,0,0,0,1.0,0,1.0,0
135,0.0,25.0,0,0,13.0,S,1.0,0,0,1.0,0,1.0,0
1026,,43.0,0,0,7.8958,S,1.0,0,0,1.0,0,1.0,0
136,0.0,23.0,0,0,15.0458,C,1.0,1.0,0,0,0,1.0,0
1027,,24.0,0,0,7.8542,S,1.0,1.0,0,0,0,1.0,0
137,1.0,19.0,0,2,26.2833,S,0,0,0,1.0,1.0,0,0
1028,,26.5,0,0,7.225,C,0,0,0,1.0,1.0,0,0
138,0.0,37.0,1,0,53.1,S,1.0,0,0,1.0,1.0,0,0
1029,,26.0,0,0,13.0,S,1.0,0,0,1.0,1.0,0,0
139,0.0,16.0,0,0,9.2167,S,1.0,0,0,1.0,0,0,1.0
1030,,23.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
140,0.0,24.0,0,0,79.2,C,1.0,1.0,0,0,1.0,0,0
1031,,40.0,1,6,46.9,S,1.0,1.0,0,0,1.0,0,0
141,0.0,29.7,0,2,15.2458,C,0,1.0,0,0,0,0,1.0
1032,,10.0,5,2,46.9,S,0,1.0,0,0,0,0,1.0
142,1.0,22.0,0,0,7.75,S,0,0,0,1.0,0,0,1.0
1033,,33.0,0,0,151.55,S,0,0,0,1.0,0,0,1.0
143,1.0,24.0,1,0,15.85,S,0,0,0,1.0,0,0,1.0
1034,,61.0,1,3,262.375,C,0,0,0,1.0,0,0,1.0
144,0.0,19.0,0,0,6.75,Q,1.0,0,1.0,0,0,0,1.0
1035,,28.0,0,0,26.0,S,1.0,0,1.0,0,0,0,1.0
145,0.0,18.0,0,0,11.5,S,1.0,0,0,1.0,0,1.0,0
1036,,42.0,0,0,26.55,S,1.0,0,0,1.0,0,1.0,0
146,0.0,19.0,1,1,36.75,S,1.0,0,0,1.0,0,1.0,0
1037,,31.0,3,0,18.0,S,1.0,0,0,1.0,0,1.0,0
147,1.0,27.0,0,0,7.7958,S,1.0,0,0,1.0,0,0,1.0
1038,,30.3,0,0,51.8625,S,1.0,0,0,1.0,0,0,1.0
148,0.0,9.0,2,2,34.375,S,0,0,0,1.0,0,0,1.0
1039,,22.0,0,0,8.05,S,0,0,0,1.0,0,0,1.0
149,0.0,36.5,0,2,26.0,S,1.0,0,0,1.0,0,1.0,0
1040,,30.3,0,0,26.55,S,1.0,0,0,1.0,0,1.0,0
150,0.0,42.0,0,0,13.0,S,1.0,0,0,1.0,0,1.0,0
1041,,30.0,1,1,26.0,S,1.0,0,0,1.0,0,1.0,0
151,0.0,51.0,0,0,12.525,S,1.0,0,0,1.0,0,1.0,0
1042,,23.0,0,1,83.1583,C,1.0,0,0,1.0,0,1.0,0
152,1.0,22.0,1,0,66.6,S,0,0,0,1.0,1.0,0,0
1043,,30.3,0,0,7.8958,C,0,0,0,1.0,1.0,0,0
153,0.0,55.5,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
1044,,60.5,0,0,35.6,S,1.0,0,0,1.0,0,0,1.0
154,0.0,40.5,0,2,14.5,S,1.0,0,0,1.0,0,0,1.0
1045,,36.0,0,2,12.1833,S,1.0,0,0,1.0,0,0,1.0
155,0.0,29.7,0,0,7.3125,S,1.0,0,0,1.0,0,0,1.0
1046,,13.0,4,2,31.3875,S,1.0,0,0,1.0,0,0,1.0
156,0.0,51.0,0,1,61.3792,C,1.0,1.0,0,0,1.0,0,0
1047,,24.0,0,0,7.55,S,1.0,1.0,0,0,1.0,0,0
157,1.0,16.0,0,0,7.7333,Q,0,0,1.0,0,0,0,1.0
1048,,29.0,0,0,221.7792,S,0,0,1.0,0,0,0,1.0
158,0.0,30.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
1049,,23.0,0,0,7.8542,S,1.0,0,0,1.0,0,0,1.0
159,0.0,29.7,0,0,8.6625,S,1.0,0,0,1.0,0,0,1.0
1050,,42.0,0,0,26.55,S,1.0,0,0,1.0,0,0,1.0
160,0.0,29.7,8,2,69.55,S,1.0,0,0,1.0,0,0,1.0
1051,,26.0,0,2,13.775,S,1.0,0,0,1.0,0,0,1.0
161,0.0,44.0,0,1,16.1,S,1.0,0,0,1.0,0,0,1.0
1052,,30.3,0,0,7.7333,Q,1.0,0,0,1.0,0,0,1.0
162,1.0,40.0,0,0,15.75,S,0,0,0,1.0,0,1.0,0
1053,,7.0,1,1,15.2458,C,0,0,0,1.0,0,1.0,0
163,0.0,26.0,0,0,7.775,S,1.0,0,0,1.0,0,0,1.0
1054,,26.0,0,0,13.5,S,1.0,0,0,1.0,0,0,1.0
164,0.0,17.0,0,0,8.6625,S,1.0,0,0,1.0,0,0,1.0
1055,,30.3,0,0,7.0,S,1.0,0,0,1.0,0,0,1.0
165,0.0,1.0,4,1,39.6875,S,1.0,0,0,1.0,0,0,1.0
1056,,41.0,0,0,13.0,S,1.0,0,0,1.0,0,0,1.0
166,1.0,9.0,0,2,20.525,S,1.0,0,0,1.0,0,0,1.0
